Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass
367,5,1,-0.300185,51.590937,160.16,0.119592,0.039959,0.50367,0.898675,75,1746,53.4,16,1.1676,45.2318,M,No
366,5,1,-0.300203,51.59096,161.25,0.036085,0.060449,0.599388,0.742508,75,1452,53.3,11,1.1708,31.7916,M,No
365,5,1,-0.30022,51.590967,165.78,0.059561,0.054638,0.696024,0.696534,75,606,53.5,6,1.1738,0,M,No
364,5,1,-0.30023,51.590983,166.48,0.128291,0.244037,0.336799,0.94842,75,585,53.6,7,1.1769,0,M,No
363,5,1,-0.300245,51.591012,162.54,0.045647,0.192253,0.275229,0.889908,75,632,53.7,14,1.1799,0,M,No
362,5,1,-0.300265,51.591058,161.15,0.135655,0.204995,0.211825,0.99633,75,696,53.8,20,1.1831,0,M,No
361,5,1,-0.300295,51.591108,159.31,0.058815,0.168807,0.450051,0.843017,75,841,53.9,24,1.186,31.9258,M,No
360,5,1,-0.300325,51.591165,159.11,0.261138,0.030173,0.442202,1.080224,75,1013,54.2,26,1.1892,31.9258,M,No
359,5,1,-0.300363,51.591227,161.58,0.037854,-0.097554,0.54475,0.777574,74,1703,54.1,26,1.1924,31.9258,M,No
358,5,1,-0.300398,51.59129,164.16,0.054134,-0.008767,0.581753,0.778593,74,1644,53.9,24,1.1956,60.7425,M,No
357,5,1,-0.300427,51.591347,164.72,0.011969,0.01264,0.604281,0.711213,74,1585,53.7,22,1.1987,27.707,M,No
356,5,1,-0.300452,51.591397,165.65,-0.008883,0.129766,0.540775,0.71998,74,1973,53.5,19,1.2019,34.3326,M,No
355,5,1,-0.300468,51.591437,166.04,-0.021984,0.141488,0.535882,0.705403,74,1859,53.5,16,1.2055,22.4595,M,No
354,5,1,-0.300483,51.591465,164.81,0.063981,0.103466,0.542712,0.808869,74,1547,53.4,13,1.2088,22.4595,M,No
414,5,1,-0.299103,51.588763,177.45,-0.007149,0.085831,0.442202,0.784404,77,569,47.4,2,1.2111,0,M,No
353,5,1,-0.300495,51.591488,162.59,0.076565,0.264526,0.597452,0.755148,74,1393,53.4,10,1.2119,0,M,No
352,5,1,-0.300507,51.591512,161.19,0.15833,0.018451,0.6316,0.870336,74,639,53.4,12,1.2152,0,M,No
351,5,1,-0.300522,51.59155,163.14,-0.130297,0.115189,0.351376,0.68685,74,710,53.3,17,1.2184,0,M,No
350,5,1,-0.300545,51.591603,166.23,0.139951,-0.095617,0.329969,0.986544,74,823,53.2,24,1.2218,25.2758,M,No
349,5,1,-0.300572,51.591672,167.64,-0.036078,0.050765,0.345566,0.798063,74,1104,53.1,28,1.2251,25.2758,M,No
348,5,1,-0.300605,51.591747,165.13,0.086927,0.151274,0.327013,0.925076,74,1178,53.1,30,1.2283,25.2758,M,No
347,5,1,-0.300642,51.591822,160.84,-0.080096,0.244037,0.455861,0.660449,74,1315,53,30,1.2317,21.2324,M,No
346,5,1,-0.30069,51.59189,158.72,-0.009976,0.159123,0.455861,0.763914,74,1332,53,29,1.2352,31.6579,M,No
345,5,1,-0.300737,51.591957,157.67,0.006546,0.150255,0.407034,0.807849,74,1400,52.9,27,1.2384,16.5571,M,No
344,5,1,-0.300775,51.592018,157.95,-0.016049,0.136595,0.374822,0.799083,74,1345,52.8,26,1.2419,33.6425,M,No
343,5,1,-0.300815,51.592075,159.14,0.10532,0.060449,0.63945,0.799083,74,1401,52.8,25,1.2454,33.6425,M,No
342,5,1,-0.300845,51.592135,162.51,-0.058228,0.027319,0.497859,0.698573,74,924,52.8,23,1.2489,0,M,No
341,5,1,-0.300867,51.592193,165.77,-0.026605,0.104383,0.524159,0.71315,74,844,52.7,24,1.2523,20.5001,M,No
340,5,1,-0.300887,51.592263,165.5,-0.028094,0.146381,0.466565,0.739552,74,1055,52.7,26,1.2557,20.5001,M,No
339,5,1,-0.300913,51.59233,167.26,0.180425,0.172783,0.547605,0.930887,74,1094,52.5,28,1.2593,20.5001,M,No
338,5,1,-0.300937,51.5924,168.44,0.111865,0.056575,0.561264,0.857696,74,1269,52.4,28,1.2628,19.3192,M,No
337,5,1,-0.30096,51.592472,168.08,0.029956,0.162997,0.535882,0.763914,74,1239,52.4,27,1.2664,17.8912,M,No
336,5,1,-0.300988,51.592535,162.8,0.212391,0.386544,0.524159,0.92212,74,1210,52.2,26,1.2699,17.8912,M,No
335,5,1,-0.301023,51.592595,155.27,0.072901,0.40897,0.382671,0.814679,74,1103,52,26,1.2735,17.8912,M,No
334,5,1,-0.301067,51.592652,153.69,0.104971,0.408053,0.301631,0.881142,74,1165,51.9,27,1.2771,18.2921,M,No
333,5,1,-0.301108,51.592705,158.51,-0.00187,0.208868,0.371865,0.802039,74,1206,51.9,26,1.2806,18.2921,M,No
332,5,1,-0.301142,51.592762,161.2,-0.03258,0.219572,0.407034,0.749337,73,1120,51.8,25,1.2843,0,M,No
331,5,1,-0.301173,51.59282,163.73,-0.00207,0.450051,0.257696,0.752192,73,1079,51.7,27,1.288,0,M,No
330,5,1,-0.301207,51.592883,162.2,-0.026132,0.258614,0.32212,0.781549,73,1114,51.5,28,1.2917,0,M,No
329,5,1,-0.301243,51.592948,161.28,-0.074563,0.331906,0.390418,0.670234,73,1275,51.3,29,1.2952,0,M,No
328,5,1,-0.301282,51.593013,162.61,-0.026842,0.211825,0.449032,0.736595,73,613,51.2,20,1.2991,0,M,No
327,5,1,-0.301653,51.593653,158.58,-0.057386,-0.063405,0.480224,0.708257,73,613,50.6,20,1.3495,0,M,No
326,5,1,-0.301697,51.593713,154.73,0.047073,0.122018,0.4158,0.852803,73,613,50.8,20,1.3536,0,M,No
325,5,1,-0.301745,51.593772,152.07,-0.036782,0.145362,0.411927,0.758104,73,613,50.9,20,1.3576,0,M,No
324,5,1,-0.301785,51.593818,151.05,0.026389,0.153211,0.47737,0.795209,73,613,50.9,20,1.3617,0,M,No
323,5,1,-0.30182,51.593865,156.13,-0.047063,0.01366,0.533945,0.688787,73,613,50.9,20,1.3658,0,M,No
322,5,1,-0.301853,51.593917,161.69,-0.208643,-0.098573,0.382671,0.585321,73,650,50.9,21,1.3699,0,M,No
321,5,1,-0.301883,51.593973,159.84,0.031124,0.152294,0.427523,0.825484,73,717,51.1,23,1.3741,0,M,No
320,5,1,-0.301922,51.594032,155.4,0.030346,0.129766,0.424669,0.829358,72,771,51.2,24,1.3782,40.5941,M,No
319,5,1,-0.301965,51.594088,152.7,-0.085801,0.025382,0.504689,0.661468,72,893,51.2,24,1.3825,40.5941,M,No
318,5,1,-0.302012,51.594145,152.95,-0.045048,0.01947,0.417839,0.758104,72,1017,51.2,26,1.3867,40.5941,M,No
317,5,1,-0.302058,51.594205,154.57,0.022129,0.058512,0.518349,0.778593,72,1646,51.3,25,1.391,41.2856,M,No
316,5,1,-0.302102,51.594262,156.16,-0.030653,0.077064,0.472477,0.742508,72,1651,51.4,24,1.3953,52.3937,M,No
315,5,1,-0.302142,51.594313,156.3,0.08304,0.071254,0.594495,0.802039,72,1624,51.3,19,1.3996,31.1317,M,No
314,5,1,-0.302172,51.594352,153.61,0.010592,0.178593,0.538838,0.735678,72,1495,51.4,17,1.4039,31.1317,M,No
313,5,1,-0.302198,51.594385,147.35,0.035584,0.184506,0.553517,0.755148,72,601,51.6,13,1.4083,0,M,No
312,5,1,-0.302228,51.594413,149.68,0.485178,0.062385,0.386544,1.33211,72,603,51.6,14,1.4127,0,M,No
311,5,1,-0.302258,51.594448,154.33,-0.010804,0.057594,0.351376,0.822528,72,655,51.6,21,1.4169,0,M,No
310,5,1,-0.302288,51.594493,160.1,0.009031,0.111213,0.392457,0.822528,72,674,51.7,22,1.4214,0,M,No
309,5,1,-0.302317,51.594545,166.11,0.016058,0.058512,0.431498,0.817635,72,1022,51.6,24,1.4261,20.9945,M,No
308,5,1,-0.302337,51.594602,176.32,0.030928,0.104383,0.388481,0.848828,72,1022,51.6,24,1.4305,20.9945,M,No
307,5,1,-0.302335,51.594667,186.68,0.071863,-0.01947,0.423649,0.883996,72,982,51.6,25,1.435,20.9945,M,No
306,5,1,-0.302312,51.59473,196.67,0.082122,0.024363,0.426606,0.893782,72,1205,51.4,27,1.4397,20.9945,M,No
305,5,1,-0.302278,51.594797,196.15,-0.04088,-0.022426,0.34261,0.795209,72,1205,51.3,27,1.4443,56.1523,M,No
415,5,1,-0.299107,51.588757,177.45,0.009475,0.055556,0.456881,0.798063,77,599,47.1,0,1.4478,0,M,No
304,5,1,-0.302252,51.594857,188.18,0.079021,0.128848,0.471458,0.86157,72,1486,51.3,26,1.4487,56.1523,M,No
303,5,1,-0.302245,51.594917,162.96,-0.185926,0.255759,0.471458,0.512029,72,1553,51.4,23,1.4536,27.2829,M,No
302,5,1,-0.302278,51.594968,146.45,0.0011,0.302548,0.579817,0.657492,72,1240,51.4,21,1.4583,0,M,No
301,5,1,-0.30234,51.595013,128.09,0.199364,0.313354,0.330887,1.00897,71,728,51.4,22,1.463,25.3299,M,No
300,5,1,-0.30242,51.595052,119.48,0.223414,0.293782,0.275229,1.054842,71,993,51.6,24,1.4677,25.3299,M,No
299,5,1,-0.30251,51.595083,113.58,-0.030868,0.201019,0.299694,0.799083,71,1448,51.6,24,1.4724,25.3299,M,No
298,5,1,-0.302607,51.59511,113.76,0.281858,0.057594,0.427523,1.106626,71,1769,51.7,24,1.4773,68.2116,M,No
297,5,1,-0.302697,51.59513,120.14,0.120432,0.104383,0.530071,0.881142,71,2207,51.9,20,1.4822,50.6254,M,No
296,5,1,-0.302747,51.595147,128.41,0.030314,0.009684,0.634557,0.711213,71,1728,52.1,12,1.4871,4.9509,M,No
295,5,1,-0.302777,51.59516,136.34,-0.06241,0.208868,0.603262,0.586239,71,1091,52.4,7,1.4918,0,M,No
294,5,1,-0.302807,51.59517,146.59,-0.020255,0.157085,0.392457,0.783486,71,697,52.7,8,1.4969,0,M,No
293,5,1,-0.302827,51.595192,154.78,-0.080176,0.01264,0.374822,0.739552,71,607,52.8,11,1.5019,0,M,No
292,5,1,-0.302847,51.595213,157.56,0.067308,-0.050765,0.402141,0.886952,71,659,53.1,14,1.5069,0,M,No
291,5,1,-0.302863,51.59525,156.5,0.175932,0.120999,0.404077,0.997248,71,668,53.1,16,1.5119,0,M,No
290,5,1,-0.302888,51.59529,155.07,-0.373286,-0.016514,0.081957,0.520897,71,705,53.1,21,1.5169,0,M,No
289,5,1,-0.302928,51.595348,156.04,0.068147,-0.007747,0.288889,0.927931,71,860,53,29,1.5221,0,M,No
288,5,1,-0.302977,51.595418,157.08,-0.067088,0.077064,0.390418,0.743425,71,917,52.9,32,1.5272,0,M,No
287,5,1,-0.30303,51.595497,157.2,-0.077842,0.00581,0.346483,0.75423,71,959,52.7,33,1.5321,0,M,No
286,5,1,-0.303087,51.595577,157.4,0.15475,-0.01264,0.361162,0.99633,71,998,52.6,35,1.5375,0,M,No
285,5,1,-0.303145,51.59566,156.23,0.045718,-0.045872,0.664832,0.705403,71,1103,52.5,35,1.5429,0,M,No
284,5,1,-0.303207,51.595738,154.39,0.035528,0.109276,0.570133,0.757085,71,1108,52.4,36,1.5482,0,M,No
283,5,1,-0.303268,51.595818,153.65,0.095181,0.015596,0.471458,0.887971,71,1093,52.3,35,1.5534,0,M,No
282,5,1,-0.303332,51.595897,153.26,0.015536,-0.00683,0.508563,0.778593,71,1093,52.2,35,1.5588,0,M,No
281,5,1,-0.303393,51.595975,157.08,-0.188266,-0.063405,0.453925,0.569623,71,1093,52.2,35,1.5643,0,M,No
280,5,1,-0.303447,51.596055,159.6,0.1786,0.355352,0.257696,0.993374,71,1048,52,35,1.5697,0,M,No
279,5,1,-0.303497,51.596135,158.96,0.092581,0.226402,0.457798,0.865443,71,1055,51.8,35,1.5752,0,M,No
278,5,1,-0.30355,51.596215,156.3,0.042777,0.258614,0.489093,0.783486,71,1065,51.6,36,1.5806,0,M,No
277,5,1,-0.30361,51.596295,155.58,0.068346,0.168807,0.251784,0.924057,71,1093,51.6,37,1.5859,23.8725,M,No
276,5,1,-0.303668,51.596377,156.15,0.382976,0.304587,0.346483,1.203262,71,1099,51.4,37,1.5917,23.8725,M,No
275,5,1,-0.30373,51.59646,156.59,0.16783,0.138532,0.506626,0.94261,71,1123,51.2,38,1.5972,23.8725,M,No
274,5,1,-0.30379,51.596543,156.08,0.061066,0.122018,0.50367,0.825484,71,1188,51.1,38,1.6031,0,M,No
273,5,1,-0.303855,51.596628,155.42,-0.013462,0.178593,0.533028,0.710296,71,1181,51.1,37,1.6086,0,M,No
272,5,1,-0.303922,51.596713,155.18,-0.051961,0.169827,0.449032,0.717125,71,1175,51.1,37,1.6145,0,M,No
271,5,1,-0.303988,51.596798,154.02,-0.030237,0.190316,0.489093,0.715087,71,1177,51,37,1.6202,0,M,No
270,5,1,-0.304057,51.596883,154.64,0.464022,0.087768,0.594495,1.234455,71,1173,51,37,1.6261,0,M,No
269,5,1,-0.30412,51.59697,155.74,-0.045528,0.150255,0.518349,0.68685,71,1173,51.1,37,1.6318,0,M,No
268,5,1,-0.304182,51.597057,156.9,0.034791,0.08002,0.563303,0.763914,71,1140,51,37,1.6378,0,M,No
267,5,1,-0.304242,51.597145,158.62,0.078774,0.117125,0.570133,0.807849,71,1143,50.9,38,1.6439,0,M,No
266,5,1,-0.3043,51.597237,159.54,-0.209546,0.050765,0.449032,0.548216,71,1151,51.1,38,1.6497,0,M,No
265,5,1,-0.304357,51.597328,159.41,-0.047424,0.098573,0.530071,0.684913,71,1170,51,39,1.6558,0,M,No
264,5,1,-0.304415,51.59742,158.65,-0.014755,0.116106,0.519368,0.728746,71,1193,50.7,40,1.6616,0,M,No
416,5,1,-0.299108,51.588757,177.45,0.009784,0.050765,0.497859,0.776657,77,599,47.1,0,1.6647,0,M,No
263,5,1,-0.304477,51.597512,158.72,-0.090922,0.153211,0.473394,0.660449,71,1216,50.5,40,1.6681,0,M,No
262,5,1,-0.304538,51.597605,157.3,0.041297,0.166871,0.574006,0.752192,71,1233,50.3,41,1.6743,28.0324,M,No
261,5,1,-0.304605,51.597697,155.97,-0.073161,0.103466,0.576962,0.617533,71,1255,50.3,41,1.6804,28.0324,M,No
260,5,1,-0.304677,51.597788,156.28,-0.030508,0.137615,0.476351,0.732722,71,1282,50.2,41,1.6868,28.0324,M,No
259,5,1,-0.304743,51.59788,157.15,0.118148,0.287971,0.595515,0.801019,71,1295,50.3,40,1.6931,29.631,M,No
258,5,1,-0.304812,51.59797,156.64,0.025553,0.047808,0.608155,0.723955,70,1273,50.4,40,1.6994,33.6884,M,No
257,5,1,-0.30488,51.598058,156.7,-0.067002,0.132722,0.621814,0.582365,70,1257,50.5,39,1.7056,31.8374,M,No
256,5,1,-0.304947,51.598145,154.96,0.146414,0.124873,0.616922,0.857696,70,1216,50.6,38,1.7123,31.0043,M,No
255,5,1,-0.305013,51.59823,151.9,-0.044849,0.139551,0.612029,0.61947,70,1195,50.4,37,1.7185,33.4058,M,No
254,5,1,-0.30508,51.598308,151.68,-0.024233,0.112232,0.511519,0.722936,70,1162,50.3,36,1.7254,33.0484,M,No
253,5,1,-0.305143,51.598385,154.92,0.182493,0.024363,0.598369,0.919164,70,1123,50.1,34,1.7319,0,M,No
252,5,1,-0.305198,51.59846,159.07,0.017988,0.047808,0.599388,0.720999,70,1110,49.9,34,1.7383,0,M,No
251,5,1,-0.305247,51.598537,161.28,-0.046197,-0.017533,0.495922,0.714169,70,1110,49.4,34,1.7453,0,M,No
250,5,1,-0.305292,51.598615,160.56,-0.001587,0.080938,0.464628,0.779613,70,1108,49.1,34,1.7517,0,M,No
249,5,1,-0.305343,51.598692,157.73,-0.087095,0.144444,0.406116,0.704383,70,1107,49.1,34,1.7587,0,M,No
248,5,1,-0.305398,51.598773,155.04,0.287209,0.027319,0.666769,1.000204,70,1115,49,34,1.7658,0,M,No
247,5,1,-0.305457,51.598857,156.05,-0.138555,0.09368,0.457798,0.623344,70,1114,48.9,34,1.7726,27.451,M,No
246,5,1,-0.305512,51.598942,158.29,0.062015,-0.101529,0.524159,0.817635,70,1118,48.9,34,1.7795,27.451,M,No
245,5,1,-0.305563,51.599027,158.27,-0.14918,0.045872,0.395311,0.651682,70,1107,48.9,35,1.7866,27.451,M,No
244,5,1,-0.305617,51.599117,157.48,0.064417,0.120999,0.646279,0.736595,70,1115,49,34,1.7938,30.324,M,No
243,5,1,-0.305672,51.599197,156.74,0.000747,0.088787,0.486137,0.769827,70,1116,49,34,1.801,30.324,M,No
242,5,1,-0.305727,51.59928,156.19,-0.092577,0.114169,0.530071,0.627217,70,1105,49.1,34,1.8078,30.324,M,No
241,5,1,-0.305778,51.599357,157.8,-0.153254,0.01264,0.424669,0.63211,70,1091,49.1,33,1.815,0,M,No
240,5,1,-0.305827,51.599435,160.52,-0.024188,-0.047808,0.459735,0.759021,70,1032,49,33,1.8224,0,M,No
239,5,1,-0.305868,51.599515,160.02,0.145602,-0.004791,0.595515,0.878185,70,1038,49.1,33,1.83,0,M,No
238,5,1,-0.305915,51.599597,158.35,0.097246,0.224465,0.49684,0.851784,70,1042,49,33,1.8371,0,M,No
237,5,1,-0.305965,51.599675,157.63,-0.10801,0.126911,0.448012,0.660449,70,1021,49,34,1.845,0,M,No
236,5,1,-0.306017,51.599752,156.83,0.142556,0.132722,0.453925,0.939653,70,1040,49,34,1.8527,0,M,No
235,5,1,-0.306068,51.599828,154.24,-0.230063,-0.057594,0.345566,0.585321,69,1047,49,35,1.8599,0,M,No
234,5,1,-0.306128,51.599907,150.8,-0.053495,-0.001937,0.549541,0.670234,69,1069,49.1,35,1.8678,33.618,M,No
233,5,1,-0.306195,51.599985,152.82,-0.008183,-0.038022,0.428542,0.793272,69,1080,49,36,1.8756,33.618,M,No
232,5,1,-0.30626,51.600063,155.01,-0.015495,-0.011621,0.454842,0.772681,69,1129,48.9,36,1.8832,33.618,M,No
231,5,1,-0.30632,51.600147,156.16,-0.106117,-0.057594,0.478287,0.652599,69,1510,48.7,35,1.8913,22.9544,M,No
